기간	자치구	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	인구밀도	인구밀도	세대당인구	65세이상고령자
기간	자치구	세대	합계	합계	합계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	인구밀도	인구밀도	세대당인구	65세이상고령자
기간	자치구	세대	계	남자	여자	계	남자	여자	계	남자	여자	인구밀도(명/㎢)	면적(㎢)	세대당인구	65세이상고령자
2016	서초구	173,970	451,477	216,886	234,591	447,192	214,673	232,519	4,285	2,213	2,072	-	-	2.57	50,984
2016	강남구	234,080	572,140	274,217	297,923	567,115	271,604	295,511	5,025	2,613	2,412	-	-	2.42	61,931
2016	송파구	258,382	664,946	324,087	340,859	657,831	320,557	337,274	7,115	3,530	3,585	-	-	2.55	71,064
2016	강동구	177,460	448,471	223,081	225,390	444,168	221,118	223,050	4,303	1,963	2,340	-	-	2.5	53,195
2017	합계	4,220,082	10,124,579	4,957,857	5,166,722	9,857,426	4,830,206	5,027,220	267,153	127,651	139,502	-	-	2.34	1,365,126
2017	종로구	73,594	164,257	80,094	84,163	154,770	75,967	78,803	9,487	4,127	5,360	-	-	2.1	26,182
2017	중구	60,412	134,593	66,337	68,256	125,709	62,253	63,456	8,884	4,084	4,800	-	-	2.08	21,384
2017	용산구	107,666	244,444	119,423	125,021	229,161	110,878	118,283	15,283	8,545	6,738	-	-	2.13	36,882
2017	성동구	132,902	312,711	154,077	158,634	304,808	150,368	154,440	7,903	3,709	4,194	-	-	2.29	41,273
2017	광진구	160,798	372,298	180,645	191,653	357,703	174,414	183,289	14,595	6,231	8,364	-	-	2.22	43,953
2017	동대문구	159,938	366,011	181,185	184,826	350,647	175,324	175,323	15,364	5,861	9,503	-	-	2.19	55,718
2017	중랑구	179,132	412,780	205,125	207,655	408,226	203,325	204,901	4,554	1,800	2,754	-	-	2.28	59,262
2017	성북구	187,112	455,407	221,103	234,304	444,055	216,556	227,499	11,352	4,547	6,805	-	-	2.37	66,251
2017	강북구	142,533	328,002	160,252	167,750	324,479	158,918	165,561	3,523	1,334	2,189	-	-	2.28	56,530
2017	도봉구	137,378	346,234	169,553	176,681	344,166	168,759	175,407	2,068	794	1,274	-	-	2.51	53,488
2017	노원구	217,619	558,075	271,025	287,050	554,403	269,508	284,895	3,672	1,517	2,155	-	-	2.55	74,243
2017	은평구	202,839	491,202	238,223	252,979	486,794	236,353	250,441	4,408	1,870	2,538	-	-	2.4	74,559
2017	서대문구	137,266	325,028	155,250	169,778	312,800	151,144	161,656	12,228	4,106	8,122	-	-	2.28	49,266
2017	마포구	169,408	385,783	183,248	202,535	374,915	178,939	195,976	10,868	4,309	6,559	-	-	2.21	49,615
2017	양천구	176,649	475,018	234,279	240,739	471,154	232,518	238,636	3,864	1,761	2,103	-	-	2.67	55,234
2017	강서구	254,257	608,255	296,175	312,080	601,691	292,989	308,702	6,564	3,186	3,378	-	-	2.37	76,032
2017	구로구	171,570	441,559	221,386	220,173	410,742	204,003	206,739	30,817	17,383	13,434	-	-	2.39	58,794
2017	금천구	106,066	253,491	129,775	123,716	235,154	119,497	115,657	18,337	10,278	8,059	-	-	2.22	34,170
2017	영등포구	167,355	402,024	202,400	199,624	368,550	183,975	184,575	33,474	18,425	15,049	-	-	2.2	53,981
2017	동작구	172,995	408,493	198,827	209,666	396,217	193,255	202,962	12,276	5,572	6,704	-	-	2.29	57,255
2017	관악구	255,352	520,929	262,006	258,923	503,297	253,661	249,636	17,632	8,345	9,287	-	-	1.97	70,046
2017	서초구	173,594	445,401	213,422	231,979	441,102	211,236	229,866	4,299	2,186	2,113	-	-	2.54	53,205
2017	강남구	231,612	561,052	268,941	292,111	556,164	266,442	289,722	4,888	2,499	2,389	-	-	2.4	65,060
2017	송파구	264,628	671,173	326,407	344,766	664,496	323,147	341,349	6,677	3,260	3,417	-	-	2.51	76,582
2017	강동구	177,407	440,359	218,699	221,660	436,223	216,777	219,446	4,136	1,922	2,214	-	-	2.46	56,161
2018	합계	4,263,868	10,049,607	4,910,849	5,138,758	9,765,623	4,773,899	4,991,724	283,984	136,950	147,034	-	-	2.29	1,416,131
2018	종로구	73,735	163,026	79,156	83,870	153,065	74,825	78,240	9,961	4,331	5,630	-	-	2.08	26,742
2018	중구	61,502	135,633	66,674	68,959	125,725	61,947	63,778	9,908	4,727	5,181	-	-	2.04	22,005
2018	용산구	108,974	245,090	119,766	125,324	228,999	110,640	118,359	16,091	9,126	6,965	-	-	2.1	37,640
2018	성동구	137,209	316,463	155,091	161,372	308,221	151,359	156,862	8,242	3,732	4,510	-	-	2.25	42,767
2018	광진구	162,606	371,063	179,527	191,536	355,559	172,794	182,765	15,504	6,733	8,771	-	-	2.19	45,619
2018	동대문구	161,820	364,338	179,774	184,564	348,052	173,567	174,485	16,286	6,207	10,079	-	-	2.15	57,165
2018	중랑구	180,511	408,147	202,448	205,699	403,209	200,419	202,790	4,938	2,029	2,909	-	-	2.23	61,830
2018	성북구	186,601	447,687	216,495	231,192	435,868	211,904	223,964	11,819	4,591	7,228	-	-	2.34	67,782
2018	강북구	143,395	322,915	157,522	165,393	319,164	156,071	163,093	3,751	1,451	2,300	-	-	2.23	58,196
2018	도봉구	138,087	341,649	167,043	174,606	339,413	166,160	173,253	2,236	883	1,353	-	-	2.46	55,964
2018	노원구	217,655	548,160	265,870	282,290	543,752	263,919	279,833	4,408	1,951	2,457	-	-	2.5	77,096
2018	은평구	205,001	487,666	235,600	252,066	483,197	233,702	249,495	4,469	1,898	2,571	-	-	2.36	77,420
2018	서대문구	138,549	323,080	153,816	169,264	310,313	149,569	160,744	12,767	4,247	8,520	-	-	2.24	50,456
2018	마포구	172,505	386,359	182,573	203,786	375,077	178,240	196,837	11,282	4,333	6,949	-	-	2.17	50,833
2018	양천구	176,498	468,145	230,457	237,688	464,185	228,634	235,551	3,960	1,823	2,137	-	-	2.63	58,045
2018	강서구	258,503	603,611	293,289	310,322	596,949	290,079	306,870	6,662	3,210	3,452	-	-	2.31	79,660
2018	구로구	172,457	438,486	219,949	218,537	404,497	200,417	204,080	33,989	19,532	14,457	-	-	2.35	61,801
2018	금천구	107,971	254,021	130,398	123,623	233,917	118,915	115,002	20,104	11,483	8,621	-	-	2.17	35,739
2018	영등포구	171,085	403,600	203,319	200,281	367,778	183,224	184,554	35,822	20,095	15,727	-	-	2.15	55,673
2018	동작구	177,176	409,385	198,458	210,927	396,203	192,533	203,670	13,182	5,925	7,257	-	-	2.24	59,479
2018	관악구	262,222	520,040	260,742	259,298	501,957	252,160	249,797	18,083	8,582	9,501	-	-	1.91	72,249
2018	서초구	172,918	438,163	209,977	228,186	433,951	207,868	226,083	4,212	2,109	2,103	-	-	2.51	54,751
2018	강남구	228,775	547,453	262,203	285,250	542,364	259,611	282,753	5,089	2,592	2,497	-	-	2.37	67,085
2018	송파구	270,866	673,507	326,849	346,658	666,635	323,526	343,109	6,872	3,323	3,549	-	-	2.46	81,364
2018	강동구	177,247	431,920	213,853	218,067	427,573	211,816	215,757	4,347	2,037	2,310	-	-	2.41	58,770
2019	합계	4,327,605	10,010,983	4,877,725	5,133,258	9,729,107	4,744,059	4,985,048	281,876	133,666	148,210	-	-	2.25	1,485,272
2019	종로구	73,947	161,869	78,215	83,654	151,290	73,746	77,544	10,579	4,469	6,110	-	-	2.05	27,519
2019	중구	62,739	136,488	66,823	69,665	126,171	61,910	64,261	10,317	4,913	5,404	-	-	2.01	23,275
2019	용산구	110,126	245,185	119,599	125,586	228,670	110,356	118,314	16,515	9,243	7,272	-	-	2.08	38,791
2019	성동구	135,838	308,979	150,861	158,118	300,889	147,273	153,616	8,090	3,588	4,502	-	-	2.22	43,947
2019	광진구	164,428	366,972	176,917	190,055	351,350	170,262	181,088	15,622	6,655	8,967	-	-	2.14	47,902
2019	동대문구	164,191	363,023	178,490	184,533	346,194	172,113	174,081	16,829	6,377	10,452	-	-	2.11	59,350
2019	중랑구	181,579	402,024	199,006	203,018	397,015	196,959	200,056	5,009	2,047	2,962	-	-	2.19	65,164
2019	성북구	192,592	454,744	219,099	235,645	442,650	214,437	228,213	12,094	4,662	7,432	-	-	2.3	70,850
2019	강북구	144,277	317,695	154,638	163,057	313,954	153,235	160,719	3,741	1,403	2,338	-	-	2.18	60,577
2019	도봉구	138,508	335,631	163,961	171,670	333,362	163,051	170,311	2,269	910	1,359	-	-	2.41	58,714
2019	노원구	216,966	537,303	259,810	277,493	532,905	257,923	274,982	4,398	1,887	2,511	-	-	2.46	80,923
2019	은평구	207,681	484,546	233,360	251,186	480,032	231,528	248,504	4,514	1,832	2,682	-	-	2.31	80,738
2019	서대문구	140,157	323,171	153,215	169,956	309,397	148,663	160,734	13,774	4,552	9,222	-	-	2.21	52,074
2019	마포구	175,023	385,925	181,303	204,622	374,035	176,891	197,144	11,890	4,412	7,478	-	-	2.14	52,429
2019	양천구	177,256	462,285	227,019	235,266	458,165	225,186	232,979	4,120	1,833	2,287	-	-	2.58	61,264
2019	강서구	262,708	598,273	289,691	308,582	591,796	286,563	305,233	6,477	3,128	3,349	-	-	2.25	84,077
2019	구로구	176,568	439,371	219,602	219,769	406,664	200,987	205,677	32,707	18,615	14,092	-	-	2.3	65,779
2019	금천구	110,622	251,820	128,954	122,866	232,810	118,209	114,601	19,010	10,745	8,265	-	-	2.1	37,660
2019	영등포구	174,806	400,986	200,986	200,000	367,678	182,438	185,240	33,308	18,548	14,760	-	-	2.1	57,872
2019	동작구	180,753	408,912	197,706	211,206	395,963	191,976	203,987	12,949	5,730	7,219	-	-	2.19	62,226
2019	관악구	268,559	517,334	259,194	258,140	500,094	251,009	249,085	17,240	8,185	9,055	-	-	1.86	75,194
2019	서초구	173,199	435,107	208,181	226,926	430,826	206,039	224,787	4,281	2,142	2,139	-	-	2.49	57,136
2019	강남구	232,981	550,209	263,345	286,864	545,169	260,806	284,363	5,040	2,539	2,501	-	-	2.34	71,025
2019	송파구	278,711	682,741	330,412	352,329	675,961	327,164	348,797	6,780	3,248	3,532	-	-	2.43	87,334
2019	강동구	183,390	440,390	217,338	223,052	436,067	215,335	220,732	4,323	2,003	2,320	-	-	2.38	63,452
2020	합계	4,417,954	9,911,088	4,816,522	5,094,566	9,668,465	4,701,723	4,966,742	242,623	114,799	127,824	-	-	2.19	1,568,331
2020	종로구	75,003	158,996	76,876	82,120	149,384	72,635	76,749	9,612	4,241	5,371	-	-	1.99	28,507
2020	중구	63,686	134,635	65,776	68,859	125,240	61,222	64,018	9,395	4,554	4,841	-	-	1.97	24,495
2020	용산구	113,093	244,645	118,835	125,810	230,040	110,722	119,318	14,605	8,113	6,492	-	-	2.03	40,247
2020	성동구	135,870	300,505	146,424	154,081	293,556	143,387	150,169	6,949	3,037	3,912	-	-	2.16	45,603
2020	광진구	167,427	360,109	173,000	187,109	346,682	167,310	179,372	13,427	5,690	7,737	-	-	2.07	50,560
2020	동대문구	167,598	357,014	175,322	181,692	342,837	169,769	173,068	14,177	5,553	8,624	-	-	2.05	61,796
2020	중랑구	185,920	399,562	197,118	202,444	394,702	195,165	199,537	4,860	1,953	2,907	-	-	2.12	69,447
2020	성북구	195,396	447,056	214,658	232,398	437,153	210,810	226,343	9,903	3,848	6,055	-	-	2.24	73,770
2020	강북구	145,896	311,569	151,466	160,103	308,055	150,143	157,912	3,514	1,323	2,191	-	-	2.11	63,422
2020	도봉구	139,114	327,361	159,420	167,941	325,257	158,620	166,637	2,104	800	1,304	-	-	2.34	62,059
2020	노원구	218,270	527,032	254,188	272,844	523,037	252,383	270,654	3,995	1,805	2,190	-	-	2.4	85,489
2020	은평구	213,914	484,043	231,998	252,045	479,835	230,279	249,556	4,208	1,719	2,489	-	-	2.24	85,187
2020	서대문구	144,838	322,952	153,152	169,800	312,173	149,360	162,813	10,779	3,792	6,987	-	-	2.16	54,204
2020	마포구	178,482	381,858	178,977	202,881	371,890	175,150	196,740	9,968	3,827	6,141	-	-	2.08	54,331
2020	양천구	180,633	457,781	224,379	233,402	454,251	222,824	231,427	3,530	1,555	1,975	-	-	2.51	65,670
2020	강서구	266,982	585,901	282,686	303,215	580,185	280,034	300,151	5,716	2,652	3,064	-	-	2.17	88,984
2020	구로구	180,531	432,488	215,424	217,064	404,408	199,673	204,735	28,080	15,751	12,329	-	-	2.24	70,198
2020	금천구	114,715	247,835	126,141	121,694	231,733	117,226	114,507	16,102	8,915	7,187	-	-	2.02	39,842
2020	영등포구	184,714	407,367	202,969	204,398	379,480	187,647	191,833	27,887	15,322	12,565	-	-	2.05	61,688
2020	동작구	184,229	401,572	193,718	207,854	391,220	189,152	202,068	10,352	4,566	5,786	-	-	2.12	65,190
2020	관악구	274,811	509,803	255,211	254,592	495,060	248,339	246,721	14,743	6,872	7,871	-	-	1.8	78,875
2020	서초구	173,502	429,025	205,282	223,743	425,126	203,359	221,767	3,899	1,923	1,976	-	-	2.45	60,169
2020	강남구	234,872	544,055	260,378	283,677	539,231	257,999	281,232	4,824	2,379	2,445	-	-	2.3	75,096
2020	송파구	281,959	673,926	325,080	348,846	667,960	322,299	345,661	5,966	2,781	3,185	-	-	2.37	93,483
2020	강동구	196,499	463,998	228,044	235,954	459,970	226,216	233,754	4,028	1,828	2,200	-	-	2.34	70,019
